FECHA,HORA,AJM,BJU,CAM,FAR,GAM,HGM,INN,MER,MGH,MPA,PED,SAC,SAG,SFE,TLA,UIZ,XAL
1/1/2024,19,10,22,15,-99,-99,-99,-99,19,-99,14,13,-99,43,-99,48,20,-99
1/1/2024,20,8,17,24,-99,-99,-99,-99,18,-99,11,11,-99,35,-99,47,20,-99
1/1/2024,21,8,19,27,-99,-99,-99,-99,20,-99,10,9,-99,29,-99,38,22,-99
1/1/2024,22,13,21,33,-99,-99,-99,-99,23,-99,12,11,-99,33,-99,31,22,-99
1/1/2024,23,12,21,23,-99,-99,-99,-99,24,-99,9,11,-99,27,-99,25,23,-99
1/1/2024,24,13,15,21,-99,-99,-99,-99,21,-99,10,10,-99,24,-99,19,18,-99
2/1/2024,1,14,13,16,-99,-99,-99,-99,18,-99,11,11,-99,23,-99,-99,18,-99
2/1/2024,2,11,13,15,-99,-99,-99,-99,13,-99,12,7,-99,22,-99,-99,21,-99
2/1/2024,3,8,12,12,-99,-99,-99,-99,12,-99,12,7,-99,22,-99,-99,14,-99
2/1/2024,4,8,10,10,-99,-99,-99,-99,13,-99,8,6,-99,19,-99,-99,18,-99
2/1/2024,5,8,10,13,-99,-99,-99,-99,16,-99,8,4,-99,32,-99,-99,18,-99
2/1/2024,6,7,11,16,-99,-99,-99,-99,19,-99,5,4,-99,24,-99,-99,16,-99
2/1/2024,7,9,13,19,-99,-99,-99,-99,27,-99,5,6,-99,24,-99,-99,17,-99
2/1/2024,8,9,20,36,-99,-99,-99,-99,31,-99,5,8,-99,33,-99,56,21,-99
2/1/2024,9,8,23,47,-99,-99,-99,-99,27,-99,9,15,-99,48,-99,52,34,-99
2/1/2024,10,9,24,34,-99,-99,-99,-99,28,-99,10,20,-99,46,-99,45,28,-99
2/1/2024,11,16,19,32,-99,-99,-99,-99,19,-99,11,21,-99,36,-99,37,27,-99
2/1/2024,12,11,21,19,-99,-99,-99,-99,15,-99,20,16,-99,25,-99,34,24,-99
2/1/2024,13,9,15,17,-99,-99,-99,-99,14,-99,20,15,-99,30,-99,23,22,-99
2/1/2024,14,10,14,26,-99,-99,-99,-99,11,-99,14,15,-99,26,-99,22,19,-99
2/1/2024,15,9,15,10,-99,-99,-99,-99,11,-99,10,14,-99,43,-99,21,14,-99
2/1/2024,16,12,12,16,-99,-99,-99,-99,27,-99,15,15,-99,38,-99,21,40,-99
2/1/2024,17,19,15,31,-99,-99,-99,-99,31,-99,12,17,-99,49,-99,32,46,-99
2/1/2024,18,16,23,28,-99,-99,-99,-99,31,-99,13,17,-99,46,-99,45,36,-99
2/1/2024,19,23,19,18,-99,-99,-99,-99,27,-99,14,18,-99,44,-99,42,33,-99
2/1/2024,20,20,34,16,-99,-99,-99,-99,26,-99,15,31,-99,37,-99,35,27,-99
2/1/2024,21,15,32,20,-99,-99,-99,-99,25,-99,14,22,-99,26,-99,31,27,-99
2/1/2024,22,13,29,27,-99,-99,-99,-99,34,-99,14,13,-99,48,-99,31,23,-99
2/1/2024,23,18,27,25,-99,-99,-99,-99,25,-99,12,18,-99,23,-99,37,22,-99
2/1/2024,24,15,25,23,-99,-99,-99,-99,24,-99,13,21,-99,25,-99,31,21,-99
3/1/2024,1,13,23,23,-99,-99,24,-99,25,-99,11,18,-99,14,-99,23,22,-99
3/1/2024,2,10,18,26,-99,-99,22,-99,20,-99,11,16,-99,16,-99,35,19,-99
3/1/2024,3,11,21,28,-99,-99,25,-99,21,-99,7,14,-99,12,-99,35,25,-99
3/1/2024,4,9,18,24,-99,-99,25,-99,20,-99,5,13,-99,31,-99,29,16,-99
3/1/2024,5,9,15,25,-99,-99,18,-99,17,-99,6,12,-99,13,-99,22,14,-99
3/1/2024,6,7,15,26,-99,-99,21,-99,18,-99,6,10,-99,15,-99,21,11,-99
3/1/2024,7,10,20,18,-99,-99,23,-99,21,-99,2,10,-99,17,-99,-99,18,-99
3/1/2024,8,10,20,27,-99,-99,24,-99,21,-99,7,14,-99,49,-99,-99,19,-99
3/1/2024,9,8,27,32,-99,-99,24,-99,22,-99,8,17,-99,41,-99,-99,18,-99
3/1/2024,10,14,34,37,-99,-99,29,-99,22,-99,8,22,-99,32,-99,-99,18,-99
3/1/2024,11,14,24,53,-99,-99,23,-99,26,-99,15,-99,-99,29,-99,-99,29,-99
3/1/2024,12,11,20,58,-99,-99,27,-99,24,-99,17,-99,-99,28,-99,-99,35,-99
3/1/2024,13,12,22,18,-99,-99,18,-99,-99,-99,16,-99,-99,25,-99,-99,25,-99
3/1/2024,14,11,17,14,-99,-99,15,-99,-99,-99,22,-99,-99,20,-99,-99,21,-99
3/1/2024,15,17,14,15,-99,-99,12,-99,-99,-99,22,-99,-99,21,-99,-99,18,-99
3/1/2024,16,20,26,15,-99,-99,22,-99,-99,-99,19,-99,-99,42,-99,-99,34,-99
3/1/2024,17,14,37,23,-99,-99,41,-99,29,-99,18,-99,-99,64,-99,-99,35,-99
3/1/2024,18,13,29,31,-99,-99,51,-99,38,-99,16,-99,-99,96,-99,-99,42,-99
3/1/2024,19,13,22,26,-99,-99,26,-99,38,-99,11,-99,-99,78,-99,-99,46,-99
3/1/2024,20,12,24,23,-99,-99,31,-99,30,-99,8,14,-99,34,-99,-99,47,-99
